intaglio_depth,security_thread_visible,watermark_clarity,color_shift_ink,microprint_score,uv_fluorescence,serial_number_font,denomination,label
0.098902,0.167826,0.075872,0.006388,0.082699,0.896609,0.022906,50,0
0.166284,0.152155,0.160853,0.074739,0.099081,0.835843,0.047251,20,0
0.148134,0.170222,0.172276,0.051246,0.132439,0.822417,0.021422,500,1
0.172904,0.185825,0.072872,0.018351,0.085985,0.815476,0.010935,500,1
0.201326,0.172186,0.184447,0.031598,0.159188,0.821539,0.030153,500,1
0.149426,0.221743,0.190892,0.028167,0.100275,0.797044,0.012751,200,0
0.161019,0.162465,0.162203,0.144739,0.276545,0.831958,0.067782,100,1
0.145044,0.143367,0.174353,0.161295,0.295728,0.844164,0.073223,20,1
0.109559,0.192964,0.130967,0.023852,0.114512,0.812928,0.028163,50,0
0.134755,0.197705,0.14183,0.046096,0.088744,0.783221,0.018109,20,0
0.102955,0.198487,0.166103,0.043876,0.121427,0.817024,0.034936,500,0
0.121531,0.12811,0.022729,0.035244,0.082668,0.86439,0.014049,200,0
0.165106,0.167242,0.1274,0.087363,0.136443,0.790767,0.032115,100,1
0.123211,0.285092,0.120668,0.068913,0.103009,0.757668,0.024911,50,0
0.121497,0.144463,0.140753,0.02217,0.149194,0.853215,0.068916,10,0
0.144563,0.147329,0.156354,0.019917,0.10893,0.862331,0.020796,200,0
0.185552,0.154041,0.018288,0.069587,0.054604,0.84873,0.01304,100,0
0.175498,0.196888,0.106699,0.005069,0.155969,0.813811,0.029747,2000,0
0.137681,0.128847,0.128781,0.049324,0.102781,0.846379,0.017089,500,0
0.111767,0.157347,0.254282,0.082968,0.132871,0.791748,0.024897,10,1
0.102332,0.08768,0.060137,0.009442,0.008763,0.900665,0.005397,10,1
0.196067,0.199152,0.186608,0.073384,0.209246,0.695262,0.046282,20,1
0.121107,0.286069,0.144447,0.049791,0.160245,0.695858,0.012961,2000,0
0.183143,0.243504,0.279557,0.054044,0.16677,0.736691,0.030737,200,0
0.20231,0.322407,0.333388,0.028728,0.076313,0.688278,0.006454,2000,0
0.123191,0.106976,0.115206,0.032767,0.070677,0.88117,0.024048,50,0
0.155805,0.170147,0.1521,0.113756,0.215041,0.841983,0.040801,50,0
0.147859,0.15928,0.117472,0.117636,0.133646,0.853517,0.060871,10,1
0.160814,0.140961,0.031688,0.014203,0.088948,0.873335,0.014174,50,0
0.181617,0.158615,0.147917,0.053925,0.079265,0.781516,0.018308,10,0
0.16148,0.152516,0.195836,0.036114,0.04714,0.82386,0.018968,50,0
0.123406,0.118669,0.106236,0.052726,0.097562,0.865946,0.018255,500,0
0.098404,0.141371,0.119039,0.023891,0.073773,0.866756,0.018708,50,0
0.158621,0.170538,0.041669,0.04936,0.110779,0.813431,0.02097,100,0
0.234285,0.197129,0.098067,0.05657,0.082666,0.804539,0.008137,2000,0
0.17892,0.126564,0.051629,0.045763,0.071641,0.872653,0.009242,10,0
0.243168,0.272176,0.147949,0.015595,0.079866,0.76092,0.024233,10,0
0.105729,0.074647,0.089883,0.035186,0.023725,0.911416,0.016454,100,0
0.161532,0.245925,0.147193,0.021346,0.136751,0.793703,0.007414,20,0
0.13192,0.171325,0.116936,0.007823,0.124744,0.856572,0.024181,500,0
0.144689,0.153917,0.151624,0.08378,0.109252,0.835585,0.046944,500,1
0.162491,0.152968,0.031805,0.056735,0.101654,0.812975,0.024825,10,0
0.189537,0.210703,0.067066,0.049197,0.103052,0.82105,0.016235,10,0
0.249152,0.23217,0.240942,0.013794,0.10107,0.748424,0.028105,2000,0
0.067523,0.123854,0.088418,0.009955,0.018379,0.885327,0.002113,2000,0
0.157198,0.173753,0.043922,0.014379,0.028659,0.833933,0.006384,10,0
0.089163,0.067832,0.057438,0.05443,0.087836,0.82803,0.018419,200,0
0.132376,0.106426,0.120089,0.01536,0.075933,0.890504,0.008355,50,0
0.145879,0.157686,0.208873,0.122708,0.222599,0.799763,0.049384,50,1
0.136001,0.140447,0.214795,0.069966,0.141208,0.778616,0.020931,10,1
0.13819,0.148936,0.114665,0.031837,0.049523,0.878225,0.020201,20,0
0.137758,0.243214,0.235696,0.039179,0.086957,0.762585,0.013025,200,0
